reference_number,watch_url,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_url,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,calibre,power_reserve,frequency,jewels,features,description,short_description
2CVAK.G05A.K137T,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-overlord-anniversary-75-years,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE OVERLORD ANNIVERSARY 75 YEARS,CHRONOFIGHTER VINTAGE OVERLORD ANNIVERSARY 75 YEARS,LIMITED EDITION,Chronograph,USD,"8,250.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGEOVERLORDANNIVERSARY75YEARS2CVAK.G05A.K137T_124a8dc8-b852-4725-b83f-d1141ac01392_1800x1800.png?v=1619426335,Switzerland,,Bronze,,See through sapphire crystal,44 mm,,,, satin-brushed,Bronze,sapphire ,330 feet / 100 m / 10 bar,,Green ,,rubber ,Green,Bronze pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"Over the years, Graham has recognised that some clients wish to remember a historical event. Each creation upholds the styling of the Chronofighter Vintage while referencing an important event or a topical issue. Sometimes, Graham shows its playful side, creating serious watches with a refreshing sense of humour.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_overlord-_2cvak.g05a_technical_specifications_1.pdf?v=1618236604
2CVES.B01A,https://graham1695.com/collections/new-collection/products/copie-de-chronofighter-grand-vintage-swiss-edition-alpenrose,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE 25TH ANNIVERSARY,CHRONOFIGHTER VINTAGE 25TH ANNIVERSARY,LIMITED EDITION,Chronograph,USD,"8,450.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESChronofighterVintageAnniversaryLtd252CVES.B01A_1800x1800.png?v=1603263374,Switzerland,,steel,,See through sapphire crystal,44mm,,,,Steel,, sapphire ,330 feet / 100 m / 10 bar,,Black,,calf leather,brown,Steel pin buckle,Automatic,G1722,48 hours,28’800 A/h (4Hz),30,,"As part of Graham's 25th anniversary celebrations, the company produced a recreation of its inaugural watch, first released in 1995. The Chronofighter Vintage 25th anniversary features a bi-compax dial configuration. The silver toned counters are snailed and stand out from the main black dial. The overall composition exhibits symmetry and delivers peerless readability.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_ltd_-_25th_anniversary_-_technical_features_-_2cves.b01a_1.pdf?v=1618236604
2CCCK.O01A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-carbon-skeleton-translucent-orange,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON - TRANSLUCENT ORANGE,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON - TRANSLUCENT ORANGE,,Skeleton chronograph,USD,"15,950.00",https://graham1695.com/cdn/shop/files/ChronofighterSUPERLIGHTTRANSLUCENTOrange_1800x1800.png?v=1684835416,Switzerland,,superlight tinted,,See through sapphire crystal,47mm,,,,carbon,Black, sapphire ,330 feet / 100 m / 10 bar,,Black ,,rubber ,black,Black carbon pin buckle,Automatic,G1790,48 hours,28’800 A/h (4Hz),29,,"The Chronofighter Superlight Carbon Skeleton weighs less than 100 grams. Its 47mm case is formed of epoxy resin infused with an orange dye, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. The open-worked dial reveals various components in motion and the chronograph trigger delivers an ergonomic interface between the watch and its wearer. This piece having as specificity its orange translucence and visible fragments inside the case make it a timepiece with a very singular design. Once your order is confirmed, our watchmakers will assemble your watch. The lead time will be between 3-4 weeks.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_superlight_carbon_skeleton_-_technical_features_-_2ccck.b41a_2.pdf?v=1618236604
2FOBC.R01A,https://graham1695.com/collections/new-collection/products/fortress-city-gmt-red,,Graham,,FORTRESS,FORTRESS CITY GMT RED,FORTRESS CITY GMT RED,,GMT,USD,"6,450.00",https://graham1695.com/cdn/shop/files/GRAHAMWatchesFortressCityGMTRed2FOBC.R01A_1800x1800.png?v=1685027453,Switzerland,,steel,,See through sapphire crystal,44 mm,,,,Steel,Black,sapphire ,330 feet / 100 m / 10 bar,,Black and colour ring,,calf leather ,black,Steel pin buckle,Automatic,G1725,42 hours,28’800 A/h (4Hz),26,,"The Fortress City GMT Red is equipped with a mechanism for correcting the hour hand by means of the crown (patented mechanism). Located on the left side of the case, the pusher has been completely redesigned to become the only pusher allowing the hour hand to be moved by 1 hour. This makes it easy to update the time while on the move. Each Graham watch is water tested to 300 feet (100 meters/10atm). This model has a GMT hand that allows the second time zone to be read simultaneously. This provides a technical answer for people who travel constantly, juggling time zones. In order to standardize the measurement of time in all countries, the earth has been divided into 24 time zones, the first of which is crossed by the Greenwich meridian and is considered the prime meridian. From this central point, 12 time zones were defined running westwards from -11 to 0 (0 = GMT - centre of the time zones) and a further 12 from +1 to +12 eastwards. GRAHAM has developed one of the simplest GMTs in the world, allowing you to set your watch without ever using the crown. ",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/fiche_technique_-_Fortress_-_GMT_City.pdf?v=1685027655
2FOAS.G05A,https://graham1695.com/collections/new-collection/products/fortress-green,,Graham,,FORTRESS,FORTRESS GREEN,FORTRESS GREEN,LIMITED EDITION,Chronograph,USD,"7,950.00",https://graham1695.com/cdn/shop/products/GRAHAMWatchesFortressBlue2FOAS.G05A_1800x1800.png?v=1681891526,Switzerland,,steel,,See through sapphire crystal,47mm,,,,Steel,, sapphire ,330 feet / 100 m / 10 bar,,Green sunray ,,calf leather ,black,Steel pin buckle,Automatic,G1750,48 hours,28’800 A/h (4Hz),25,,"The Graham Fortress is a chronograph equipped with a mono-pusher set within the crown. By placing the mono-pusher/crown on the left flank of the case, the watch exhibits a clean, uncluttered profile. Meanwhile, locating the lone pusher on the right side of the case makes operating the chronograph highly intuitive. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event. The dial features a small seconds display and a 30-minute chronograph register. A date aperture at 9 o'clock completes the inventory of functions.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/fiche_technique_-_FORTRESS-2FOAS.G05A.pdf?v=1681892013
2CCCK.W01A,https://graham1695.com/collections/new-collection/products/hronofighter-superlight-carbon-skeleton-white,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON WHITE,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON WHITE,,Skeleton Chronograph,USD,"14,950.00",https://graham1695.com/cdn/shop/products/2CCCK.W01ABlackstrapsoldatPNG_1800x1800.png?v=1669125099,Switzerland,,superlight tinted,,See through sapphire crystal,47mm,,,,carbon,Black,sapphire ,330 feet / 100 m / 10 bar,,Black and white ,, rubber,"black, white",Black carbon pin buckle,Automatic,G1790,48 hours,28’800 A/h (4Hz),29,,"The Chronofighter Superlight Carbon Skeleton - White weighs less than 100 grams. Its 47mm case is formed of epoxy resin with Zirconia, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. The open-worked dial reveals various components in motion and the chronograph trigger delivers an ergonomic interface between the watch and its wearer. ",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/Fiche_technique_-_Superlight-carbon_white_2CCCK.W01A.pdf?v=1669124931
2CVAK.U01A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-bronze-blue-gold,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE BRONZE & BLUE,CHRONOFIGHTER VINTAGE BRONZE & BLUE,,Chronograph,USD,"7,950.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGEBRONZEBLUE_GOLD2CVAK.U01AA.L129V_1800x1800.png?v=1618513392,Switzerland,,Bronze,,See through sapphire crystal,44 mm,,,,satin-brushed,Bronze,sapphire ,330 feet / 100 m / 10 bar,,"Silver, blue, green,black",,rubber,"Black, green",Bronze pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage Bronze was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system. This watch is housed in a 44mm bronze case, heightening the sense of nostalgia. The alloy, widely used by the naval industry, assumes a becoming patina with time, imbuing the watch with an aged and unique appearance. The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event. Often when a watch is worn on the left arm and the wearer flexes their wrist, the  protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems. ",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_bronze_-_2cvak.b26a-u01a-s03a-g02a_technical_specifications_3.pdf?v=1618236604
2CVAK.G02A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-bronze-green-gold,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE BRONZE & GREEN,CHRONOFIGHTER VINTAGE BRONZE & GREEN,,Chronograph,USD,"7,950.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGEBRONZEGREEN_GOLD2CVAK.G02A.L136V_1800x1800.png?v=1618402996,Switzerland,,Bronze,,See-through sapphire crystal ,44 mm,,,,satin-brushed,Bronze,sapphire,330 feet / 100 m / 10 bar,,"Silver, blue, green, black",,Black,Bronze,Bronze pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage Bronze was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system. This watch is housed in a 44mm bronze case, heightening the sense of nostalgia. The alloy, widely used by the naval industry, assumes a becoming patina with time, imbuing the watch with an aged and unique appearance. The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event. Often when a watch is worn on the left arm and the wearer flexes their wrist, the  protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems. Once your order is confirmed, your watch will be shipped within 2-3 working days.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_bronze_-_2cvak.b26a-u01a-s03a-g02a_technical_specifications_3.pdf?v=1618236604
2CVAS.R01A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-emergency-red-edition,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE GOLD EMERGENCY - RED EDITION,CHRONOFIGHTER VINTAGE GOLD EMERGENCY - RED EDITION,LIMITED EDITION,Chronograph,USD,"8,950.00",https://graham1695.com/cdn/shop/products/GRAHAMCHRONOFIGHTEREMERGENCY-REDEDITION_1800x1800.png?v=1676283975,Switzerland,,steel,,See-through sapphire crystal,44mm,,,,"Steel",,sapphire,330 feet / 100 m / 10 bar,,Black ,, calf leather,Black,Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"Sometimes Graham shows its playful side, creating serious watches with a refreshing sense of humour. One entertaining example is the Chronofighter Vintage Emergency features a genuine 1g Swiss ingot on the dial. The watch is supplied with a hammer and the dial is marked 'Break glass in case of emergency'.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_ltd_-_emergency_technical_features_-_2cvas.b35a.pdf?v=1618236604
2CVAS.U20A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-emergency-gold-blue-edition,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE GOLD EMERGENCY - BLUE EDITION,CHRONOFIGHTER VINTAGE GOLD EMERGENCY - BLUE EDITION,,Chronograph,USD,"8,950.00",https://graham1695.com/cdn/shop/products/GRAHAMWatches-EmergencyGoldBlueedition-2CVAS.U20A_1800x1800.png?v=1671437504,Switzerland,,steel,,See through sapphire crystal ,44mm,,,,Steel,Steel,sapphire,330 feet / 100 m / 10 bar,,Blue ,,calf leather ,Brown,Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.This watch has a real gold bar and comes with a hammer to break the ice and get the bar out in case of urgent need of cash.This piece sold out within minutes of its release and represents one of the last successes of the brand during this particularly uncertain period.",https://cdn.shopify.com/s/files/1/0563/7865/4878/files/Technical_Features_-_Emergency_-_Blue_-2CVAS.U20A.pdf?v=1670926179
2FOBC.C01A,https://graham1695.com/collections/new-collection/products/fortress-gmt-b-b,,Graham,,FORTRESS,FORTRESS GMT B&B LTD,FORTRESS GMT B&B LTD,LIMITED EDITION,GMT,USD,"6,450.00",https://graham1695.com/cdn/shop/products/2FOBC.C01A_1800x1800.png?v=1643791620,Switzerland,,stainless steel,,See through sapphire crystal ,44 mm,,,,Steel,Black,sapphire,330 feet / 100 m / 10 bar,,"Black, green, blue",,"calf leather, rubber","Black, green, Blue",Steel pin buckle,Automatic,G1725,42 hours,28’800 A/h (4Hz),26,,"The Fortress GMT is equipped with a mechanism for correcting the hour hand by means of the crown (patented mechanism). Located on the left side of the case, the pusher has been completely redesigned to become the only pusher allowing the hour hand to be moved by 1 hour. This makes it easy to update the time while on the move. Each Graham watch is water tested to 300 feet (100 meters/10atm). This model has a GMT hand that allows the second time zone to be read simultaneously. This provides a technical answer for people who travel constantly, juggling time zones. In order to standardise the measurement of time in all countries, the earth has been divided into 24 time zones, the first of which is crossed by the Greenwich meridian and is considered the prime meridian. From this central point, 12 time zones were defined running westwards from -11 to 0 (0 = GMT - centre of the time zones) and a further 12 from +1 to +12 eastwards. GRAHAM has developed one of the simplest GMTs in the world, allowing you to set your watch without ever using the crown.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/fiche_technique_-_Fortress_-_GMT_01_10_CRO.pdf?v=1643790796
2FOBC.G01A,https://graham1695.com/collections/new-collection/products/fortress-gmt-green,,Graham,,FORTRESS,FORTRESS GMT GREEN,FORTRESS GMT GREEN,,GMT,USD,"5,950.00",https://graham1695.com/cdn/shop/products/2FOBC.G01A_1800x1800.png?v=1643790211,Switzerland,,stainless steel,,See through sapphire crystal ,44 mm,,,,Steel,Black,sapphire,330 feet / 100 m / 10 bar,,"Black, green, blue",,"calf leather, rubber","Black,green, Blue",Steel pin buckle,Automatic,G1725,42 hours,28’800 A/h (4Hz),26,,"The Fortress GMT is equipped with a mechanism for correcting the hour hand by means of the crown (patented mechanism). Located on the left side of the case, the pusher has been completely redesigned to become the only pusher allowing the hour hand to be moved by 1 hour. This makes it easy to update the time while on the move. Each Graham watch is water tested to 300 feet (100 meters/10atm). This model has a GMT hand that allows the second time zone to be read simultaneously. This provides a technical answer for people who travel constantly, juggling time zones. In order to standardise the measurement of time in all countries, the earth has been divided into 24 time zones, the first of which is crossed by the Greenwich meridian and is considered the prime meridian. From this central point, 12 time zones were defined running westwards from -11 to 0 (0 = GMT - centre of the time zones) and a further 12 from +1 to +12 eastwards. GRAHAM has developed one of the simplest GMTs in the world, allowing you to set your watch without ever using the crown.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/fiche_technique_-_Fortress_-_GMT_01_10_CRO.pdf?v=1643790796
2FOBC.U02A,https://graham1695.com/collections/new-collection/products/fortress-gmt-blue,,Graham,,FORTRESS,FORTRESS GMT BLUE,FORTRESS GMT BLUE,, GMT,USD,"5,950.00",https://graham1695.com/cdn/shop/products/2FOBC.U02A_1800x1800.png?v=1643791285,Switzerland,,stainless steel,,See through sapphire crystal,44 mm,,,,Steel,Black,sapphire,330 feet / 100 m / 10 bar,,"Black, green, blue",," calf leather, rubber","Black,green, Blue",Steel pin buckle,Automatic,G1725,42 hours,28’800 A/h (4Hz),26,,"The Fortress GMT is equipped with a mechanism for correcting the hour hand by means of the crown (patented mechanism). Located on the left side of the case, the pusher has been completely redesigned to become the only pusher allowing the hour hand to be moved by 1 hour. This makes it easy to update the time while on the move. Each Graham watch is water tested to 300 feet (100 meters/10atm). This model has a GMT hand that allows the second time zone to be read simultaneously. This provides a technical answer for people who travel constantly, juggling time zones. In order to standardise the measurement of time in all countries, the earth has been divided into 24 time zones, the first of which is crossed by the Greenwich meridian and is considered the prime meridian. From this central point, 12 time zones were defined running westwards from -11 to 0 (0 = GMT - centre of the time zones) and a further 12 from +1 to +12 eastwards. GRAHAM has developed one of the simplest GMTs in the world, allowing you to set your watch without ever using the crown.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/fiche_technique_-_Fortress_-_GMT_01_10_CRO.pdf?v=1643790796
2FOBC.B02A,https://graham1695.com/collections/new-collection/products/fortress-gmt-black,,Graham,,FORTRESS,FORTRESS GMT BLACK,FORTRESS GMT BLACK,,GMT ,USD,"5,950.00",https://graham1695.com/cdn/shop/products/2FOBC.B02A_1800x1800.png?v=1643792529,Switzerland,,stainless steel,,See through sapphire crystal,44 mm,,,,Steel,Black,sapphire ,330 feet / 100 m / 10 bar,,"Black, green, blue",," calf leather, rubber","Black,green, Blue",Steel pin buckle,Automatic,G1725,42 hours,28’800 A/h (4Hz),26,,"The Fortress GMT is equipped with a mechanism for correcting the hour hand by means of the crown (patented mechanism). Located on the left side of the case, the pusher has been completely redesigned to become the only pusher allowing the hour hand to be moved by 1 hour. This makes it easy to update the time while on the move. Each Graham watch is water tested to 300 feet (100 meters/10atm). This model has a GMT hand that allows the second time zone to be read simultaneously. This provides a technical answer for people who travel constantly, juggling time zones. In order to standardise the measurement of time in all countries, the earth has been divided into 24 time zones, the first of which is crossed by the Greenwich meridian and is considered the prime meridian. From this central point, 12 time zones were defined running westwards from -11 to 0 (0 = GMT - centre of the time zones) and a further 12 from +1 to +12 eastwards. GRAHAM has developed one of the simplest GMTs in the world, allowing you to set your watch without ever using the crown.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/fiche_technique_-_Fortress_-_GMT_01_10_CRO.pdf?v=1643790796
2CVGS.B42A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-limited-edition,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE BOLT - LIMITED EDITION,CHRONOFIGHTER VINTAGE BOLT - LIMITED EDITION,,Chronograph,USD,"7,950.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESCHRONOFIGHTERVINTAGEBOLT2CVGS.B42A_1800x1800.png?v=1673280060,Switzerland,,stainless steel,,See through sapphire crystal,44 mm,,,,Steel,,sapphire ,330 feet / 100 m / 10 bar,,Black ,,calf leather ,Black,Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.Often when a watch is worn on the left arm and the wearer flexes their wrist, the protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/Fiche_technique_-_CHRONOFIGHTER_VINTAGE_LTD_Edition.pdf?v=1639668370
2CCCK.U01A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-carbon-skeleton-blue,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON - TRANSLUCENT BLUE,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON - TRANSLUCENT BLUE,,Skeleton Chronograph,USD,"15,950.00",https://graham1695.com/cdn/shop/products/2CCCK.U01Asoldattransp_1800x1800.png?v=1637230886,Switzerland,,superlight tinted,,Smoked sapphire crystal ,47mm,,,,carbon,Black,sapphire,330 feet / 100 m / 10 bar,,"Black, blue ",,rubber,Black,Black carbon pin buckle,Automatic,G1790,48 hours,28’800 A/h (4Hz),29,,"The Chronofighter Superlight Blue Carbon Skeleton - Translucent Blue weighs less than 100 grams. Its 47mm case is formed of epoxy resin infused with a blue dye, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. The open-worked dial reveals various components in motion and the chronograph trigger delivers an ergonomic interface between the watch and its wearer. This watch having as specificity its blue translucence and visible fragments inside the case make it a timepiece with a very singular design.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/Technical_Features_-_Superlight-carbon_blue_2CCCK.U01A.pdf?v=1635861005
2CCCK.G01A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-carbon-skeleton-green,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON STRIP SKELETON GREEN,CHRONOFIGHTER SUPERLIGHT CARBON STRIP SKELETON GREEN,,Skeleton Chronograph,USD,"15,950.00",https://graham1695.com/cdn/shop/products/2CCCK.G01Asoldattransp_1800x1800.png?v=1637227831,Switzerland,,superlight tinted,,Smoked sapphire crystal ,47mm,,,,carbon,Black,sapphire,330 feet / 100 m / 10 bar,,"Black, green",,rubber,Black,Black carbon pin buckle,Automatic,G1790,48 hours,28’800 A/h (4Hz),29,,"The Chronofighter Superlight Carbon Skeleton weighs less than 100 grams. Its 47mm case is formed of epoxy resin infused with a green dye, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. The open-worked dial reveals various components in motion and the chronograph trigger delivers an ergonomic interface between the watch and its wearer.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/Fiche_technique_-_Superlight-carbon_green.pdf?v=1635862820
2CXMS.S06A,https://graham1695.com/collections/new-collection/products/lady-moon-rocko-colors,women,Graham,,CHRONOFIGHTER,LADY MOON Rock'Olors,LADY MOON Rock'Olors,,Quartz chronograph,USD,"8,450.00",https://graham1695.com/cdn/shop/products/GRAHAMLadyMoon-Women_saviatorwatch-2CXMS.S08A_1800x1800.png?v=1660811220,Switzerland,,stainless steel ,,Domed stainless steel ,36 mm,,,,Steel ,,sapphire,160 feet / 50 m / 5 bar,,White ,,calf ,White ,,Quartz,G1650,,,3,,"The new Chronofighter Lady Rock'Olors, which combines astronomy and watchmaking, is an ode to women. With a luminous moon phase and a high-precision quartz movement, this timepiece is the epitome of femininity and refinement.The Chronofighter Lady features the iconic start/stop lever adorned with a diamond (Ø1.20) to highlight its delicate design. The flinqué dial features four diamonds (Ø 1.30) set at the quarter hours and a bezel set with 72 coloured sapphires (Ø 1.30), recalling a rainbow.With the case back engraved with a floral motif and enhanced by a glossy crocodile-effect leather strap, the Chronofighter Lady Rock'Olors embodies the perfect combination of elegance and technique expected of a feminine timepiece.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/Technical_Features_-_Lady_Moon_-_Rock_Olors.pdf?v=1637139962
2FOAS.U01A-1,https://graham1695.com/collections/new-collection/products/fortress-blue,,Graham,,FORTRESS,FORTRESS BLUE,FORTRESS BLUE,LIMITED EDITION,Chronograph,USD,"7,950.00",https://graham1695.com/cdn/shop/products/Sanstitre_69_1800x1800.png?v=1633524797,Switzerland,,steel,,See through sapphire crystal,47mm,,,,"Steel satin-brushed",,sapphire,330 feet / 100 m / 10 bar,,Blue,,calf leather , black or blue,Steel pin buckle,Automatic,G1750,48 hours,28’800 A/h (4Hz),25,,"The Graham Fortress is a chronograph equipped with a mono-pusher set within the crown. By placing the mono-pusher/crown on the left flank of the case, the watch exhibits a clean, uncluttered profile. Meanwhile, locating the lone pusher on the right side of the case makes operating the chronograph highly intuitive. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event. The dial features a small seconds display and a 30-minute chronograph register. A date aperture at 9 o'clock completes the inventory of functions.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/FORTRESS_-_technical_features_-_2FOAS.U01A.pdf?v=1637229935
2FOAS.B01A,https://graham1695.com/collections/new-collection/products/fortress,,Graham,,FORTRESS,FORTRESS BLACK,FORTRESS BLACK,LIMITED EDITION,Chronograph,USD,"7,950.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESFORTRESS2FOAS.B01A_1800x1800.png?v=1619426092,Switzerland,,steel,,See-through sapphire crystal ,47 mm,,,,Steel satin-brushed,,sapphire ,330 feet / 100 m / 10 bar,,Black,,calf leather ,Black,Steel pin buckle,Automatic,G1750,48 hours,28’800 A/h (4Hz),25,,"The Graham Fortress is a chronograph equipped with a mono-pusher set within the crown. By placing the mono-pusher/crown on the left flank of the case, the watch exhibits a clean, uncluttered profile. Meanwhile, locating the lone pusher on the right side of the case makes operating the chronograph highly intuitive. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event. The dial features a small seconds display and a 30-minute chronograph register. A date aperture at 9 o'clock completes the inventory of functions.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/fortress_ltd_-_technical_features_-_2foas.b01a.pdf?v=1618236604
