reference_number,watch_url,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_url,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,calibre,power_reserve,frequency,jewels,features,description,short_description
2CVAB.B41A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-aviator-dlc-red-edition,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE - DLC RED LIMITED EDITION,CHRONOFIGHTER VINTAGE - DLC RED LIMITED EDITION,,Chronograph,USD,"7,450.00",https://graham1695.com/cdn/shop/products/2CVAB.Bsoldattransp_1800x1800.png?v=1637231104,Switzerland,,DLC,,See trough red smoked sapphire crystal (2CVAB.B41A)See trough sapphire crystal (2CVAB.W03A) ,44 mm,,,,DLC,Black,sapphire,330 feet / 100 m / 10 bar ,,"Black, Off-white",,calf leather ,Black,Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system. The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.Often when a watch is worn on the left arm and the wearer flexes their wrist, the protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/CHRONOFIGHTER_VINTAGE_AVIATOR_-_DLC_LTD_Edition_-_Technical_features.pdf?v=1633609673
2FOBC.R01A,https://graham1695.com/collections/new-collection/products/fortress-city-gmt-red,,Graham,,FORTRESS,FORTRESS CITY GMT RED,FORTRESS CITY GMT RED,,GMT,USD,"6,450.00",https://graham1695.com/cdn/shop/files/GRAHAMWatchesFortressCityGMTRed2FOBC.R01A_1800x1800.png?v=1685027453,Switzerland,,stainless steel,,See through sapphire crystal,44 mm,,,,Stee,Steel,sapphire,330 feet / 100 m / 10 bar,,Black and colour ring,,calf leather ,Black,Steel pin buckle,Automatic,G1725,42 hours,28’800 A/h (4Hz),26,,"The Fortress City GMT Red is equipped with a mechanism for correcting the hour hand by means of the crown (patented mechanism). Located on the left side of the case, the pusher has been completely redesigned to become the only pusher allowing the hour hand to be moved by 1 hour. This makes it easy to update the time while on the move. Each Graham watch is water tested to 300 feet (100 meters/10atm). This model has a GMT hand that allows the second time zone to be read simultaneously. This provides a technical answer for people who travel constantly, juggling time zones. In order to standardize the measurement of time in all countries, the earth has been divided into 24 time zones, the first of which is crossed by the Greenwich meridian and is considered the prime meridian. From this central point, 12 time zones were defined running westwards from -11 to 0 (0 = GMT - centre of the time zones) and a further 12 from +1 to +12 eastwards. GRAHAM has developed one of the simplest GMTs in the world, allowing you to set your watch without ever using the crown.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/fiche_technique_-_Fortress_-_GMT_City.pdf?v=1685027655
2CVAB.W03A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-aviator-dlc-white-edition,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE - DLC WHITE LIMITED EDITION,CHRONOFIGHTER VINTAGE - DLC WHITE LIMITED EDITION,,Chronograph,USD,"7,450.00",https://graham1695.com/cdn/shop/products/2CVAB.W03Asoldattransp_1800x1800.png?v=1637231070,Switzerland,,DLC,,See trough red smoked sapphire crystal (2CVAB.B41A)See trough sapphire crystal (2CVAB.W03A) ,44 mm,,,,DLC,Black,sapphire,330 feet / 100 m / 10 bar ,,"Black, Off-white",,calf leather ,Black,Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.Often when a watch is worn on the left arm and the wearer flexes their wrist, the protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/CHRONOFIGHTER_VINTAGE_AVIATOR_-_DLC_LTD_Edition_-_Technical_features.pdf?v=1633609673
2CVAS.B40A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-aviator-black,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE - BLACK,CHRONOFIGHTER VINTAGE - BLACK,,Chronograph,USD,"6,950.00",https://graham1695.com/cdn/shop/products/2CVAS.B06Asoldattransp_1800x1800.png?v=1637230965,Switzerland,,stainless steel,,See through sapphire crystal ,44 mm,,,,Steel,,sapphire ,330 feet / 100 m / 10 bar,,"Grey, blue, black",,calf leather,"blue, black, camel",Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.Often when a watch is worn on the left arm and the wearer flexes their wrist, the protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/CHRONOFIGHTER_VINTAGE_AVIATOR_-_Technical_features_-_2CVAS.pdf?v=1633608646
2CVAS.U21A,https://graham1695.com/collections/new-collection/products/chronofighter-v,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE - BLUE,CHRONOFIGHTER VINTAGE - BLUE,,Chronograph,USD,"6,950.00",https://graham1695.com/cdn/shop/products/2CVAS.U01Asoldattransp_1800x1800.png?v=1637231041,Switzerland,,stainless steel,,See through sapphire crystal,44 mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,"Grey, blue, black",,calf leather,"blue, black, camel",Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.Often when a watch is worn on the left arm and the wearer flexes their wrist, the protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/CHRONOFIGHTER_VINTAGE_AVIATOR_-_Technical_features_-_2CVAS.pdf?v=1633608646
2CVAS.S08A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-aviator-grey,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE - GREY,CHRONOFIGHTER VINTAGE - GREY,,Chronograph,USD,"6,950.00",https://graham1695.com/cdn/shop/products/2CVAS.S08Asoldattransp_1800x1800.png?v=1637230920,Switzerland,,stainless steel,,See through sapphire crystal ,44 mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,"Grey, blue, black",,calf leather,"blue, black, camel",Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.Often when a watch is worn on the left arm and the wearer flexes their wrist, the protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/CHRONOFIGHTER_VINTAGE_AVIATOR_-_Technical_features_-_2CVAS.pdf?v=1633608646
2CCBK.G06A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-green,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON (GREEN),CHRONOFIGHTER SUPERLIGHT CARBON (GREEN),,Chronograph,USD,"13,950.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESCHRONOFIGHTERSUPERLIGHTCARBONGREEN2CCBK.G06A.K126K_1800x1800.png?v=1617880475,Switzerland,,carbon composite,,Smoked sapphire crystal,47 mm,,,,carbon,Black,sapphire,330 feet / 100 m / 10 bar,,Black carbon ,,rubber," purple, green, orange, blue, yellow, red, black",Black carbon pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Superlight Carbon weighs less than 100 grams. Its 47mm case is formed of carbon composite, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. This was the first watch to feature a carbon case, trigger, bezel, dial and buckle. Even the strap contains carbon, helping it retain its factory-fresh shape. Lastly, the chronograph trigger delivers an ergonomic interface between the watch and its wearer.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/graham_chronofighter_superlight_carbon__2ccbk_technical_features_5.pdf?v=1618239657
2CCBK.O01A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-carbon-orange,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON (ORANGE),CHRONOFIGHTER SUPERLIGHT CARBON (ORANGE),,Chronograph,USD,"13,950.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERSUPERLIGHTCARBON_ORANGE_2CCBK.O01A.K127K_1800x1800.png?v=1618382113,Switzerland,,carbon composite,,Smoked sapphire crystal,47 mm,,,,carbon,Black,sapphire,330 feet / 100 m / 10 bar,,Black carbon ,,rubber," purple, green, orange, blue, yellow, red, black",Black carbon pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Superlight Carbon weighs less than 100 grams. Its 47mm case is formed of carbon composite, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. This was the first watch to feature a carbon case, trigger, bezel, dial and buckle. Even the strap contains carbon, helping it retain its factory-fresh shape. Lastly, the chronograph trigger delivers an ergonomic interface between the watch and its wearer. ",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/graham_chronofighter_superlight_carbon__2ccbk_technical_features_5.pdf?v=1618239657
2CCBK.B15A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-carbon-yellow,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON (YELLOW),CHRONOFIGHTER SUPERLIGHT CARBON (YELLOW),,Chronograph,USD,"13,950.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERSUPERLIGHTCARBON_YELLOW_2CCBK.B15A.K103K_1800x1800.png?v=1618402731,Switzerland,,carbon composite,,Smoked sapphire crystal,47 mm,,,,carbon,Black,sapphire,330 feet / 100 m / 10 bar,,Black carbon ,,rubber," purple, green, orange, blue, yellow, red, black",Black carbon pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Superlight Carbon weighs less than 100 grams. Its 47mm case is formed of carbon composite, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. This was the first watch to feature a carbon case, trigger, bezel, dial and buckle. Even the strap contains carbon, helping it retain its factory-fresh shape. Lastly, the chronograph trigger delivers an ergonomic interface between the watch and its wearer.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/graham_chronofighter_superlight_carbon_YELLOW_2ccbk_technical_features_5.pdf?v=1618236604
2CCBK.V01A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-black-purple,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON - PURPLE AND BLACK,CHRONOFIGHTER SUPERLIGHT CARBON - PURPLE AND BLACK,,Chronograph,USD,"13,950.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERSUPERLIGHTCARBONPurple2ccbk.v01a_1800x1800.png?v=1629108194,Switzerland,,carbon composite,,Smoked sapphire crystal,47 mm,,,,carbon,Black,sapphire,330 feet / 100 m / 10 bar,,Black carbon ,,rubber," purple, green, orange, blue, yellow, red, black",Black carbon pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Superlight Carbon Purple and black watch weighs less than 100 grams. Its 47mm case is formed of carbon composite, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. This was the first watch to feature a carbon case, trigger, bezel, dial and buckle. Even the strap contains carbon, helping it retain its factory-fresh shape. Lastly, the chronograph trigger delivers an ergonomic interface between the watch and its wearer. This mens purple watch is the perfect meeting of performance and elegance. It also promises originality both in terms of design and technical specifications.Thanks to its trigger that takes up the emblematic codes of the brand, the Superlight Carbon Black and Purple reinforces the legend of the Chronofighter.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/graham_chronofighter_superlight_carbon__2ccbk_technical_features_5.pdf?v=1618239657
2CCBK.B11A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-carbon-red,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON (RED),CHRONOFIGHTER SUPERLIGHT CARBON (RED),,Chronograph,USD,"13,950.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERSUPERLIGHTCARBON_RED_2CCBK.B11A.K95K_1800x1800.png?v=1617258334,Switzerland,,carbon composite,,Smoked sapphire crystal,47 mm,,,,carbon,Black,sapphire,330 feet / 100 m / 10 bar,,Black carbon ,,rubber," purple, green, orange, blue, yellow, red, black",Black carbon pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Superlight Carbon weighs less than 100 grams. Its 47mm case is formed of carbon composite, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. This was the first watch to feature a carbon case, trigger, bezel, dial and buckle. Even the strap contains carbon, helping it retain its factory-fresh shape. Lastly, the chronograph trigger delivers an ergonomic interface between the watch and its wearer.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/graham_chronofighter_superlight_carbon__2ccbk_technical_features_5.pdf?v=1618239657
2CCBK.B30A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-carbon-blue,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON (BLUE),CHRONOFIGHTER SUPERLIGHT CARBON (BLUE),,Chronograph,USD,"13,950.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESCHRONOFIGHTERSUPERLIGHTCARBONBLUE2CCBK.B30A.K125K_1800x1800.png?v=1617960253,Switzerland,,carbon composite,,Smoked sapphire crystal,47 mm,,,,carbon,Black,sapphire,330 feet / 100 m / 10 bar,,Black carbon ,,rubber," purple, green, orange, blue, yellow, red, black",Black carbon pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Superlight Carbon watch weighs less than 100 grams. Its 47mm case is formed of carbon composite, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. This was the first watch to feature a carbon case, trigger, bezel, dial and buckle. Even the strap contains carbon, helping it retain its factory-fresh shape. Lastly, the chronograph trigger delivers an ergonomic interface between the watch and its wearer. The GRAHAM Chronofighter Superlight Blue is a timepiece that combines performance and style in an innovative way. Made with ultra-light carbon material, this watch is designed for the modern adventurer who values both comfort and precision. With its bold blue rubber strap and distinctive chronograph style, the Chronofighter Superlight Blue is the perfect accessory for outdoor enthusiasts, athletes, and thrill-seekers. Whether you're scaling mountains, racing cars, or just looking to make a statement, this watch is the perfect accessory to helpyou make the most of your day. Thanks to its advanced chronograph movement, this watch is also incredibly precise, making it ideal for timing events and recording milestones. Whether you're tracking your personal best or measuring your progress, the Superlight has you covered. ",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/graham_chronofighter_superlight_carbon__2ccbk_technical_features_5.pdf?v=1618239657
2CVAS.U16A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-noseart-dragon,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE NOSEART (DRAGON),CHRONOFIGHTER VINTAGE NOSEART (DRAGON),LIMITED EDITION,Chronograph,USD,"7,450.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGENOSEART_DRAGON_2CVAS.U16A_1800x1800.png?v=1603321355,Switzerland,,steel,,See-through sapphire crystal,44mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Blue,,calf leather,blue,Steel pin buckle,Automatic,G1745,48 hours,28’800 A/h (4Hz),25,,"Over the years, Graham has recognised that some clients wish to remember a historical event. Each creation upholds the styling of the Chronofighter Vintage while referencing an important event or a topical issue. Sometimes, Graham shows its playful side, creating serious watches with a refreshing sense of humour.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_ltd_-dragon_-_technical_features_-_2cvas.u16a_1.pdf?v=1618236604
,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-pulsometer,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE PULSOMETER,CHRONOFIGHTER VINTAGE PULSOMETER,LIMITED EDITION,Chronograph,USD,"6,450.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGEPULSOMETER2CVCS.U14A.L129S_1800x1800.png?v=1617720482,Switzerland,,steel,,See-through sapphire crysta,44mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Blue ,,calf leather,Black ,Steel pin buckle,Mechanical,G1718,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Pulsometer is marked with a scale encircling the periphery of the dial, termed a pulsometer scale. When used in conjunction with the chronograph, the pulsometer scale will indicate the prevailing heart rate of a patient. This model also features a day, date and small seconds displays. ",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_pulsometer_-technical_features_-_2cvcs.u14a_6.pdf?v=1618236604
2CVAS.B35A,https://graham1695.com/collections/new-collection/products/vintage-emergency,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE EMERGENCY,CHRONOFIGHTER VINTAGE EMERGENCY,LIMITED EDITION,Chronograph,USD,"8,950.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESCHRONOFIGHTERVINTAGEEMERGENCY2CVAS.B35A_1800x1800.png?v=1630071624,Switzerland,,steel,,See-through sapphire crystal c,44mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Black,,calf leather,Black ,Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"Sometimes Graham shows its playful side, creating serious watches with a refreshing sense of humour. One entertaining example is the Chronofighter Vintage Emergency features a genuine 1g Swiss ingot on the dial. The watch is supplied with a hammer and the dial is marked 'Break glass in case of emergency'.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_ltd_-_emergency_technical_features_-_2cvas.b35a.pdf?v=1618236604
2SXAS.B06A,https://graham1695.com/collections/new-collection/products/swordfish-black,,Graham,,SWORDFISH,SWORDFISH BLACK,SWORDFISH BLACK,,Chronograph,USD,"9,450.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESSWORDFISHBLACK2SXAS.B06A_1_1800x1800.png?v=1620720023,Switzerland,,steel,,See-through sapphire crystal c,46 mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Black,,rubber,Black ,Black rubber mesh pattern strap and steel pin buckle,Automatic,G1710,48 hours,28’800 A/h (4Hz),34,,"Sometimes collaborating with others fuels creativity and leads to synergistic outcomes. In 2001, Graham held a design competition. The winning entry became known as the Swordfish. Its thought-provoking design attracted attention from the outset and the model subsequently proved a resounding success. Presented in a generously proportioned 46mm steel case, this chronograph delivers impressive wrist presence. Two prominent eyes magnify two counters below, positioned at 3 and 9 o'clock. Unusually for Graham, the chronograph is operated using pushers located on the right flank of the case.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/swordfish_2sxas_steel_-_technical_features_3.pdf?v=1618236604
2CVES.B05A,https://graham1695.com/collections/new-collection/products/copie-de-chronofighter-vintage-anniversary,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE STINGRAY,CHRONOFIGHTER VINTAGE STINGRAY,,Chronograph,USD,"7,750.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGESTINGRAY2CVES.B05A_1800x1800.png?v=1604916409,Switzerland,,steel,,See-through sapphire crystal,44 mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Black,,calf leather,Black ,Steel pin buckle,Automatic,G1722,48 hours,28’800 A/h (4Hz),30,,"As part of Graham's 25th anniversary celebrations, the company produced a reissue of the Chronofighter Vintage Stingray. The dial design and the legendary trigger, imbue the watch with a distinctive, eye-catching appearance. #25thanniversary ",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_ltd_-_stingray_-_technical_features_-_2cves.b05a_9a9f5522-860a-468e-9978-ecbb02c497c1.pdf?v=1618239429
2CVAS.B32A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-noseart-bear-ltd-100,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE NOSEART (BEAR),CHRONOFIGHTER VINTAGE NOSEART (BEAR),LIMITED EDITION,Chronograph,USD,"7,450.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGENOSEART_BEAR_2CVAS.B32A_1800x1800.png?v=1620379537,Switzerland,,steel,,See-through sapphire crystal,44mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Black,,calf leather,Black ,Steel pin buckle,Automatic,G1745,48 hours,28’800 A/h (4Hz),25,,"Over the years, Graham has recognised that some clients wish to remember a historical event. Each creation upholds the styling of the Chronofighter Vintage2CVAS.B32Awhile referencing an important event or a topical issue. Sometimes, Graham shows its playful side, creating serious watches with a refreshing sense of humour.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_ltd_-bear_-_technical_features_-_2cvas.b32a_3.pdf?v=1618236604
2CVAS.B31A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-noseart-tiger,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE NOSEART (TIGER),CHRONOFIGHTER VINTAGE NOSEART (TIGER),LIMITED EDITION,Chronograph,USD,"7,450.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGENOSEART_TIGER_2CVAS.B31A_1800x1800.png?v=1620379569,Switzerland,,steel,,See-through sapphire crystal,44mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Black,,calf leather,Black ,Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"Over the years, Graham has recognised that some clients wish to remember a historical event. Each creation upholds the styling of the Chronofighter Vintage while referencing an important event or a topical issue. Sometimes, Graham shows its playful side, creating serious watches with a refreshing sense of humour. ",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_ltd_-tiger_-_technical_features_-_2cvas.b31a_1.pdf?v=1618236604
2CCCK.B41A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-carbon-skeleton,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON - TRANSLUCENT RED,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON - TRANSLUCENT RED,,Skeleton chronograph,USD,"15,950.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESCHRONOFIGHTERSUPERLIGHTCARBONSKELETON2CCCK.B41A_1800x1800.png?v=1617866943,Switzerland,,superlight tinted,,Smoked sapphire crystal,47mm,,,,carbon,Black,sapphire,330 feet / 100 m / 10 bar,,"Black, white ",,rubber,black,Black carbon pin buckle,Automatic,G1790,48 hours,28’800 A/h (4Hz),29,,"The Chronofighter Superlight Carbon Skeleton weighs less than 100 grams. Its 47mm case is formed of epoxy resin infused with a red dye, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. The open-worked dial reveals various components in motion and the chronograph trigger delivers an ergonomic interface between the watch and its wearer. This piece having as specificity its red translucence and visible fragments inside the case make it a timepiece with a very singular design. ",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_superlight_carbon_skeleton_-_technical_features_-_2ccck.b41a_2.pdf?v=1618236604
2CVAS.B03A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-light-brown,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE (LIGHT BROWN),CHRONOFIGHTER VINTAGE (LIGHT BROWN),,Chronograph,USD,"6,950.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGE_LIGHTBROWN_2CVAS.B03A.L128S_1800x1800.png?v=1617711857,Switzerland,,steel,,See-through sapphire,44 mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Black ,,calf leather,"brown, black, camel, blue",Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.Often when a watch is worn on the left arm and the wearer flexes their wrist, the protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_2cvas.b01_b02a_b03_u01a_technical_features_1.pdf?v=1618236604
2CVDS.B29F,https://graham1695.com/collections/new-collection/products/chronofighter-grand-vintage-skull,,Graham,,CHRONOFIGHTER,CHRONOFIGHTER GRAND VINTAGE SKULL,CHRONOFIGHTER GRAND VINTAGE SKULL,,Chronograph,USD,"8,250.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESCHRONOFIGHTERGRANDVINTAGEEMERGENCY_SKULL_2CVDS.B29F_7082f1df-52e3-48bf-b85b-106f796b1fde_1800x1800.png?v=1618402687,Switzerland,,steel,,See-through sapphire crystal,47 mm,,,,Steel,,sapphire ,330 feet / 100 m / 10 bar,,Black,,rubber,Black ,Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Grand Vintage Chronofighter is made for confident individuals who choose to make a statement and this skull watch is no exception to the rule.Presented in a generously proportioned 47mm steel case, this chronograph delivers impressive wrist presence. The overall scale of the watch, with the large dial aperture, provides much room for each indication to lucidly converse with the wearer.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event. In addition, the design and location of the crown and trigger ensemble contribute to the model's impressive wearer comfort.Since the inaugural version of the Grand Vintage Chronofighter was released, Graham has produced various limited-edition variants. Some models have celebrated Swiss traditions, while other creations have featured a graffiti-themed laser-engraved sapphire crystal. Once again, Graham's remarkable creativity is manifest.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_grand_vintage-_technical_features_-_2cvds.b29b-c-d_5.pdf?v=1618236604
