reference_number,watch_url,type,brand,year_introduced,parent_model,specific_model,nickname,marketing_name,style,currency,price,image_url,made_in,case_shape,case_material,case_finish,caseback,diameter,between_lugs,lug_to_lug,case_thickness,bezel_material,bezel_color,crystal,water_resistance,weight,dial_color,numerals,bracelet_material,bracelet_color,clasp_type,movement,calibre,power_reserve,frequency,jewels,features,description,short_description
2CVAS.U01A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-blue,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE (BLUE),CHRONOFIGHTER VINTAGE (BLUE),,Chronograph,USD,"6,950.00",https://graham1695.com/cdn/shop/products/CopiedeCHRONOFIGHTERVINTAGE_BLUE_2CVAS.U01A.L129S_1800x1800.png?v=1617954724,Switzerland,,steel,,See-through sapphire crystal,44 mm,,,,Steel,,sapphire ,330 feet / 100 m / 10 bar,,Black,, calf leather,"brown, black, camel, blue",Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.Often when a watch is worn on the left arm and the wearer flexes their wrist, the protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_2cvas.b01_b02a_b03_u01a_technical_features_1.pdf?v=1618236604
2FOBC.R01A,https://graham1695.com/collections/new-collection/products/fortress-city-gmt-red,,Graham,,FORTRESS,FORTRESS CITY GMT RED,FORTRESS CITY GMT RED,,GMT,USD,"6,450.00",https://graham1695.com/cdn/shop/files/GRAHAMWatchesFortressCityGMTRed2FOBC.R01A_1800x1800.png?v=1685027453,Switzerland,,stainless steel,,See-through sapphire crystal,44 mm,,,,Steel,,sapphire ,330 feet / 100 m / 10 bar,,"Black, colour ",,calf leather,Black ,Steel pin buckle,Automatic,G1725,42 hours,28’800 A/h (4Hz),26,,"The Fortress City GMT Red is equipped with a mechanism for correcting the hour hand by means of the crown (patented mechanism). Located on the left side of the case, the pusher has been completely redesigned to become the only pusher allowing the hour hand to be moved by 1 hour. This makes it easy to update the time while on the move. Each Graham watch is water tested to 300 feet (100 meters/10atm). This model has a GMT hand that allows the second time zone to be read simultaneously. This provides a technical answer for people who travel constantly, juggling time zones. In order to standardize the measurement of time in all countries, the earth has been divided into 24 time zones, the first of which is crossed by the Greenwich meridian and is considered the prime meridian. From this central point, 12 time zones were defined running westwards from -11 to 0 (0 = GMT - centre of the time zones) and a further 12 from +1 to +12 eastwards. GRAHAM has developed one of the simplest GMTs in the world, allowing you to set your watch without ever using the crown. ",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/fiche_technique_-_Fortress_-_GMT_City.pdf?v=1685027655
2SXAK.B02A,https://graham1695.com/collections/new-collection/products/copie-de-swordfish-black,,Graham,,SWORDFISH,SWORDFISH BRONZE BLACK,SWORDFISH BRONZE BLACK,,Chronograph,USD,"10,450.00",https://graham1695.com/cdn/shop/products/GRAHAMSWORDFISHBRONZEBLACK2SXAK.B02A.K133T_1_1800x1800.png?v=1618403063,Switzerland,,bronze,,See-through sapphire crystal,46 mm,,,,"satin-brushed",Bronze,sapphire,330 feet / 100 m / 10 bar,,"Black, green ",,rubber ,"Black ,green ",Bronze pin buckle,Automatic,G1710,48 hours,28’800 A/h (4Hz),34,,"Sometimes collaborating with others fuels creativity and leads to synergistic outcomes. In 2001, Graham held a design competition. The winning entry became known as the Swordfish. Its thought-provoking design attracted attention from the outset and the model subsequently proved a resounding success. This watch is housed in a 46mm bronze case, heightening the sense of nostalgia. The alloy, widely used by the naval industry, assumes a becoming patina with time, imbuing the watch with an aged and unique appearance. Two prominent eyes magnify two counters below, positioned at 3 and 9 o'clock. Unusually for Graham, the chronograph is operated using pushers located on the right flank of the case.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/swordfish_2sxak_bronze_-_technical_features_5.pdf?v=1618236604
2CVAS.B02A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-black,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE (BLACK),CHRONOFIGHTER VINTAGE (BLACK),,Chronograph,USD,"6,950.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGE_BLACK_2CVAS.B02A.L127S_1800x1800.png?v=1617956766,Switzerland,,steel,,See-through sapphire crystal,44 mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Black,,calf leather,"n brown, black, camel, blue",Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage 2CVAS.B02A was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.Often when a watch is worn on the left arm and the wearer flexes their wrist, the protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_2cvas.b01_b02a_b03_u01a_technical_features_1.pdf?v=1618236604
2CVAS.B01A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE (BROWN),CHRONOFIGHTER VINTAGE (BROWN),,Chronograph,USD,"6,950.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGE_BROWN_2CVAS.B01A.L126Scopie_1800x1800.png?v=1620722547,Switzerland,,steel,,See-through sapphire crystal,44 mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Black,,calf leather,"n brown, black, camel, blue",Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.Often when a watch is worn on the left arm and the wearer flexes their wrist, the protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_2cvas.b01_b02a_b03_u01a_technical_features_1.pdf?v=1618236604
2CVDS.B29A,https://graham1695.com/collections/new-collection/products/chronofighter-grand-vintage-with-arabic-numerals,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER GRAND VINTAGE WITH ARABIC NUMERALS,CHRONOFIGHTER GRAND VINTAGE WITH ARABIC NUMERALS,,Chronograph,USD,"7,950.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESCHRONOFIGHTERGRANDVINTAGEWITHARABICALSNUMERALS2CVDS.B29A.K133S_f0636a95-0329-4c7f-8b9f-a1f7d6e590e8_1800x1800.png?v=1618402716,Switzerland,,steel,,See-through sapphire crystal,47 mm,,,,Steel,Steel,sapphire,330 feet / 100 m / 10 bar,,Black,,calf leather,Black,Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Grand Vintage Chronofighter is made for confident individuals who choose to make a statement.Presented in a generously proportioned 47mm steel case, this chronograph delivers impressive wrist presence. The overall scale of the watch, with the large dial aperture, provides much room for each indication to lucidly converse with the wearer.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event. In addition, the design and location of the crown and trigger ensemble contribute to the model's impressive wearer comfort.Since the inaugural version of the Grand Vintage Chronofighter was released, Graham has produced various limited-edition variants. Some models have celebrated Swiss traditions, while other creations have featured a graffiti-themed laser-engraved sapphire crystal. Once again, Graham's remarkable creativity is manifest.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_grand_vintage-_technical_features_-_2cvds.b29a.pdf?v=1618236604
2CVAK.B26A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-bronze-black-gold,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE BRONZE & BLACK,CHRONOFIGHTER VINTAGE BRONZE & BLACK,,Chronograph,USD,"7,950.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGEBRONZEBLACK_GOLD2CVAK.B26A.L132V_1800x1800.png?v=1618402906,Switzerland,,steel,,See-through sapphire crystal,44 mm,,,,bronze,Bronze,sapphire,330 feet / 100 m / 10 bar,,"Silver, blue, green, black",,rubber ,"Black, green",Bronze pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage Bronze was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system. This watch is housed in a 44mm bronze case, heightening the sense of nostalgia. The alloy, widely used by the naval industry, assumes a becoming patina with time, imbuing the watch with an aged and unique appearance. The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event. Often when a watch is worn on the left arm and the wearer flexes their wrist, the  protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_bronze_-_2cvak.b26a-u01a-s03a-g02a_technical_specifications_3.pdf?v=1618236604
2CVAS.U12A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-brexit,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE BREXIT?,CHRONOFIGHTER VINTAGE BREXIT?,LIMITED EDITION,Chronograph,USD,"6,750.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERVINTAGEBREXIT2CVAS.U12A.L164S_1800x1800.png?v=1618403288,Switzerland,,,,See-through sapphire crystal,44 mm,,,,steel,,sapphire,330 feet / 100 m / 10 bar,,Painted dial with the three coloured Union Jack flag,,calf leather,Blue ,Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"Over the years, Graham has recognised that some clients wish to remember a historical event. Each creation upholds the styling of the Chronofighter Vintage while referencing an important event or a topical issue. Sometimes, Graham shows its playful side, creating serious watches with a refreshing sense of humour.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_uk_-_technical_features_2.pdf?v=1618236604
2SXAK.G01A.K137T,https://graham1695.com/collections/new-collection/products/swordfish-green,,Graham,,SWORDFISH,SWORDFISH BRONZE GREEN,SWORDFISH BRONZE GREEN,,Chronograph,USD,"10,450.00",https://graham1695.com/cdn/shop/products/SWORDFISHGREEN2SXAK.G01A.K137T_1_1800x1800.png?v=1618513123,Switzerland,,bronze,,See-through sapphire crystal,46 mm,,,,bronze,Bronze,sapphire,330 feet / 100 m / 10 bar,,"Black, green ",,rubbe,"Black , green",Bronze pin buckle,Automatic,G1710,48 hours,28’800 A/h (4Hz),34,,"Sometimes collaborating with others fuels creativity and leads to synergistic outcomes. In 2001, Graham held a design competition. The winning entry became known as the Swordfish. Its thought-provoking design attracted attention from the outset and the model subsequently proved a resounding success. This watch is housed in a 46mm bronze case, heightening the sense of nostalgia. The alloy, widely used by the naval industry, assumes a becoming patina with time, imbuing the watch with an aged and unique appearance. Two prominent eyes magnify two counters below, positioned at 3 and 9 o'clock. Unusually for Graham, the chronograph is operated using pushers located on the right flank of the case. ",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/swordfish_2sxak_bronze_-_technical_features_5.pdf?v=1618236604
2CVAS.U15A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-golden-junk-ltd-100,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE GOLDEN JUNK,CHRONOFIGHTER VINTAGE GOLDEN JUNK,LIMITED EDITION,Chronograph,USD,"7,450.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESchronofighterVintageGoldenJunk2CVAS.U15A_1800x1800.png?v=1617277476,Switzerland,,steel,,See-through sapphire crystal,44mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Blue,,calf leather,blue,Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Golden Junk Chronofighter is the ideal watch when embarking on a peaceful journey, sailing away from turbulent shores. #morningcalm",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_ltd_-_golden_junk_-_technical_features_-_2cvas.u15a_2.pdf?v=1618236604
2CVDS.W01A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-swiss-alpenrose,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER GRAND VINTAGE SWISS EDITION ALPENROSE,CHRONOFIGHTER GRAND VINTAGE SWISS EDITION ALPENROSE,LIMITED EDITION,Chronograph,USD,"8,750.00",https://graham1695.com/cdn/shop/products/ChronofighterGRANDVINTAGESWISSEDITIONALPENROSELtd50_1800x1800.png?v=1617867119,Switzerland,,steel,,See-through sapphire crystal,47mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Cow horn,,cowhide leather,"Brown, white ",Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"Every spring, cow herds leave their winter sanctuary and ascend to mountain pastures. The Poya is a festival which celebrates the cattle's new-found freedom as they graze on open land. The Chronofighter Grand Vintage Swiss tradition celebrates the Poya. It is endowed with a festive Alpine scene depicted with finely cut metal and set upon a cow horn dial.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_ltd_-_swiss_edition_-_technical_features_-_2cvds.w01a_3.pdf?v=1618236604
2SXAS.B05A,https://graham1695.com/collections/new-collection/products/copie-de-swordfish-green,,Graham,,SWORDFISH,SWORDFISH RED,SWORDFISH RED,,Chronograph,USD,"9,450.00",https://graham1695.com/cdn/shop/products/GRAHAMSWORDFISHRED2sxas.b05aa_1_1800x1800.png?v=1618403110,Switzerland,,steel,,See-through sapphire crystal,46 mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Black,,rubber ,Black ,Black rubber mesh pattern strap and steel pin buckle,Automatic,G1710,48 hours,28’800 A/h (4Hz),34,,"Sometimes collaborating with others fuels creativity and leads to synergistic outcomes. In 2001, Graham held a design competition. The winning entry became known as the Swordfish. Its thought-provoking design attracted attention from the outset and the model subsequently proved a resounding success. Presented in a generously proportioned 46mm steel case, this chronograph delivers impressive wrist presence. Two prominent eyes magnify two counters below, positioned at 3 and 9 o'clock. Unusually for Graham, the chronograph is operated using pushers located on the right flank of the case.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/swordfish_2sxas_steel_-_technical_features_3.pdf?v=1618236604
2CVES.B12A,https://graham1695.com/collections/new-collection/products/chronofighter-ve-day,,Graham,,CHRONOFIGHTER,CHRONOFIGHTER VE-DAY,CHRONOFIGHTER VE-DAY,LIMITED EDITION,Chronograph,USD,"8,450.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESCHRONOFIGHTERVE-DAY2CVES.B12A_1800x1800.png?v=1603464607,Switzerland,,steel,,See-through sapphire crystal,44mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Black,,calf leather,Black ,Steel pin buckle,Automatic,G1722,48 hours,28’800 A/h (4Hz),30,,"“Liberty, I write your name” declared Paul Eluard’s in his poem written during WW2. Knowing how much we owe the British and Allied troops, we do not forget and celebrate the heritage of the landmark victory of May 8th, 1945, which ended the war in Europe. The reedition of the Chronofighter VE-Day is obvious as the world celebrates the 75th Anniversary of the Victory in Europe and Graham celebrates his 25th Anniversary. ",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/chronofighter_vintage_ltd_-_ve-day_-_technical_features_-_2cves.b12a.pdf?v=1618236604
2CCBK.B25A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-carbon-skeleton-black,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON BLACK (WHITE RUBBER),CHRONOFIGHTER SUPERLIGHT CARBON SKELETON BLACK (WHITE RUBBER),,Skeleton chronograph,USD,"14,950.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERSUPERLIGHTCARBONSKELETON2CCBK.B25A_1_1800x1800.png?v=1622467265,Switzerland,,superlight carbon composite,,See-through sapphire crystal,47 mm,,,,carbon ,Black,sapphire,330 feet / 100 m / 10 bar,,Black,,rubber ,"Black ,White",Black carbon pin buckle,Automatic,G1790,48 hours,28’800 A/h (4Hz),29,,"The Chronofighter Superlight Carbon Skeleton weighs less than 100 grams. The open-worked dial reveals various components in motion and the chronograph trigger delivers an ergonomic interface between the watch and its wearer.Its 47mm case is formed of carbon composite, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. This was the first watch to feature a carbon case, trigger, bezel, dial and buckle.Even the strap contains carbon, helping it retain its factory-fresh shape.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/2ccbk.b25a-b_-_technical_features.pdf?v=1622467021
2CVAS.S03A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-metal-grey,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE (METAL GREY),CHRONOFIGHTER VINTAGE (METAL GREY),,Chronograph,USD,"6,950.00",https://graham1695.com/cdn/shop/products/ChronofighterVintageMetalGrey2CVAS.S03AGrahamWatches_1800x1800.png?v=1622793157,Switzerland,,steel,,See-through sapphire crystal,44 mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,"Silver, green , black",,calf leather,"camel ,brown ",Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Chronofighter Vintage was inspired by military pilots' watches of the 1940s. Consistent with several Graham models, the Chronofighter Vintage features the distinctive trigger system.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event.Often when a watch is worn on the left arm and the wearer flexes their wrist, the protrusions on the right flank of the case gouge the wrist, chafe the skin or inhibit free movement. By locating the crown and trigger system on the left side of the case, the Chronofighter Vintage can be worn free of such problems.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/Technical_Features_-_2CVAS.G02A-B26A-S03A.pdf?v=1622793222
2CVDS.U18A-2,https://graham1695.com/collections/new-collection/products/chronofighter-grand-vintage-blue,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER GRAND VINTAGE ARABIC NUMERALS BLUE,CHRONOFIGHTER GRAND VINTAGE ARABIC NUMERALS BLUE,,Chronograph,USD,"7,950.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESCHRONOFIGHTERGRANDVINTAGEARABICNUMERALS2CVDS.U18A_1800x1800.png?v=1673279793,Switzerland,,steel,,See-through sapphire crystal,47 mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Blue,,calf leather,Blue,Steel pin buckle,Automatic,G1747,48 hours,28’800 A/h (4Hz),25,,"The Grand Vintage Chronofighter is made for confident individuals who choose to make a statement.Presented in a generously proportioned 47mm steel case, this chronograph delivers impressive wrist presence. The overall scale of the watch, with the large dial aperture, provides much room for each indication to lucidly converse with the wearer.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event. In addition, the design and location of the crown and trigger ensemble contribute to the model's impressive wearer comfort.Since the inaugural version of the Grand Vintage Chronofighter was released, Graham has produced various limited-edition variants. Some models have celebrated Swiss traditions, while other creations have featured a graffiti-themed laser-engraved sapphire crystal. Once again, Graham's remarkable creativity is manifest.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/CHRONOFIGHTER_GRAND_VINTAGE_ARABIC_NUMERALS_-_technical_features_-_2CVDS.U18A_BLUE_49c65a81-f680-4a49-8cd3-8bdb88fbfd51.pdf?v=1650361104
2CVDS.B36A,https://graham1695.com/collections/new-collection/products/chronofighter-grand-vintage,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER GRAND VINTAGE ARABIC NUMERALS BEIGE,CHRONOFIGHTER GRAND VINTAGE ARABIC NUMERALS BEIGE,,Chronograph,USD,"7,950.00",https://graham1695.com/cdn/shop/products/GRAHAMWATCHESCHRONOFIGHTERGRANDVINTAGEARABICNUMERALS2CVDS.B36A_1800x1800.png?v=1673279635,Switzerland,,steel,,See-through sapphire crystal,47 mm,,,,Steel,,sapphire,330 feet / 100 m / 10 bar,,Black,,calf leather,Brown,Steel pin buckle,Automatic,G1748,48 hours,28’800 A/h (4Hz),25,,"The Grand Vintage Chronofighter is made for confident individuals who choose to make a statement.Presented in a generously proportioned 47mm steel case, this chronograph delivers impressive wrist presence. The overall scale of the watch, with the large dial aperture, provides much room for each indication to lucidly converse with the wearer.The thumb-operated trigger, positioned on the left flank of the case, proves highly intuitive to use. Its design and location facilitate quick operation of the chronograph functions, ensuring recorded times faithfully represent the duration of an event. In addition, the design and location of the crown and trigger ensemble contribute to the model's impressive wearer comfort.Since the inaugural version of the Grand Vintage Chronofighter was released, Graham has produced various limited-edition variants. Some models have celebrated Swiss traditions, while other creations have featured a graffiti-themed laser-engraved sapphire crystal. Once again, Graham's remarkable creativity is manifest.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/CHRONOFIGHTER_GRAND_VINTAGE_ARABIC_NUMERALS_-_technical_features_-_2CVDS.B36A_f92fd27a-ade0-4ddd-bec4-0fac5c0d1bae.pdf?v=1650361091
2CCBK.B25B,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-carbon-skeleton-black-black-rubber,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON BLACK (BLACK RUBBER),CHRONOFIGHTER SUPERLIGHT CARBON SKELETON BLACK (BLACK RUBBER),,Skeleton chronograph,USD,"14,950.00",https://graham1695.com/cdn/shop/products/CHRONOFIGHTERSUPERLIGHTCARBON2ccbk.b25b_1800x1800.png?v=1650549307,Switzerland,,superlight carbon composite,,See-through sapphire crystal,47 mm,,,,carbon,Black,sapphire,330 feet / 100 m / 10 bar,,Black,,rubber ,Black,Black carbon pin buckle,Automatic,G1790,48 hours,28’800 A/h (4Hz),29,,"The Chronofighter Superlight Carbon Skeleton weighs less than 100 grams. The open-worked dial reveals various components in motion and the chronograph trigger delivers an ergonomic interface between the watch and its wearer.Its 47mm case is formed of carbon composite, while the widespread use of 3K carbon further contributes to the model’s featherlight mass. This was the first watch to feature a carbon case, trigger, bezel, dial and buckle.Even the strap contains carbon, helping it retain its factory-fresh shape.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/2ccbk.b25a-b_-_technical_features.pdf?v=1622467021
2CVAS.U04A,https://graham1695.com/collections/new-collection/products/chronofighter-vintage-noseart-nina,,Graham,,CHRONOFIGHTER VINTAGE,CHRONOFIGHTER VINTAGE NOSEART (NINA),CHRONOFIGHTER VINTAGE NOSEART (NINA),,Chronograph,USD,"7,450.00",https://graham1695.com/cdn/shop/products/GRAHAMWatches-VintageNoseArtNina2CVAS.U04A_1800x1800.png?v=1670834949,Switzerland,,,,,,,,,,,sapphire,,,,,,,,,,,,,,"Over the years, Graham has recognized that some clients wish to remember a historical event. Each creation upholds the styling of the Chronofighter Vintage while referencing an important event or a topical issue. Sometimes, Graham shows its playful side, creating serious watches with a refreshing sense of humor.",
2CCBK.B35A,https://graham1695.com/collections/new-collection/products/chronofighter-superlight-carbon-skeleton-tourbillographe,,Graham,,CHRONOFIGHTER SUPERLIGHT,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON TOURBILLOGRAPHE,CHRONOFIGHTER SUPERLIGHT CARBON SKELETON TOURBILLOGRAPHE,,Tourbillon mechanism,USD,"44,950.00",https://graham1695.com/cdn/shop/products/GRAHAMWatches-SuperlightCarbonSkeletonTourbillographe-2CCBK.B35A.K102K_1800x1800.png?v=1670927737,Switzerland,,superlight carbon composite c,,See-through sapphire crystal,,,,,carbon,Black,sapphire,330 feet / 100 m / 10 bar,,Black,,rubber,Black,Black carbon pin buckle ,Automatic,G1780,48 hours,28’800 A/h (4Hz),34,,"worked dial reveals various components in motion and the chronograph trigger delivers an ergonomic interface between the watch and its wearer.Beginning of 2005, we decided that the time had come to be worthy of the name our time instruments are bearing. There was a need to pay tribute to George Graham fan- tastic heritage to the watch history. No doubt for us, the best way was to add to our magnificent collection a symbol of tradition and passion for mechanical arts : the TOURBILLON.But it was clear that it should not be just another tourbillon:It had to be a breakthrough, a new step in the conquest of watch making paradise.A unique timekeeper fitting to both our beloved core values and the respectful feel- ings we all have towards George Graham. It had to be innovative, proactive, with our touch of eccentricity, sporty and highly gutsy.
The development of a unique time piece had begun. The task was heavy. The brief was crazy.A new concept of Tourbillon, a new technology, 2 new patents, a new manufacturing process and 4 years of unremitting endeavours were the conditions to come up with a master piece dedicated to our flame of design and bearing any type of intense activity.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/Chronofighter_Superlight_Carbon_Tourbillograph_-_technical_features_2CCBK.B35A_-_update_2021.pdf?v=1670927875
2FOBC.R01A,https://graham1695.com/collections/new-collection/products/fortress-city-gmt-red,,Graham,,FORTRESS,FORTRESS CITY GMT RED,FORTRESS CITY GMT RED,,GMT,USD,"6,450.00",https://graham1695.com/cdn/shop/files/GRAHAMWatchesFortressCityGMTRed2FOBC.R01A_1800x1800.png?v=1685027453,Switzerland,,stainless steel,,See-through sapphire crystal,44 mm,,,,Steel,Black,sapphire,330 feet / 100 m / 10 bar,,Black and colour ring,,calf leather ,Black,Steel pin buckle,Automatic,G1725,42 hours,28’800 A/h (4Hz),26,,"The Fortress City GMT Red is equipped with a mechanism for correcting the hour hand by means of the crown (patented mechanism). Located on the left side of the case, the pusher has been completely redesigned to become the only pusher allowing the hour hand to be moved by 1 hour. This makes it easy to update the time while on the move. Each Graham watch is water tested to 300 feet (100 meters/10atm). This model has a GMT hand that allows the second time zone to be read simultaneously. This provides a technical answer for people who travel constantly, juggling time zones. In order to standardize the measurement of time in all countries, the earth has been divided into 24 time zones, the first of which is crossed by the Greenwich meridian and is considered the prime meridian. From this central point, 12 time zones were defined running westwards from -11 to 0 (0 = GMT - centre of the time zones) and a further 12 from +1 to +12 eastwards. GRAHAM has developed one of the simplest GMTs in the world, allowing you to set your watch without ever using the crown.",https://cdn.shopify.com/s/files/1/0274/0921/9648/files/fiche_technique_-_Fortress_-_GMT_City.pdf?v=1685027655
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,See-through sapphire crystal,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,See-through sapphire crystal,,,,,,,,,,,,,,,,,,,,,,